year,quarter,frequency,value
1947,NA,annual,1.213393361581921
1948,NA,annual,1.3207733050847459
1949,NA,annual,1.3744632768361584
1950,NA,annual,1.4388912429378533
1951,NA,annual,1.5570091807909605
1952,NA,annual,1.632175141242938
1953,NA,annual,1.7288170903954805
1954,NA,annual,1.7717690677966103
1955,NA,annual,1.8361970338983054
1956,NA,annual,1.9328389830508477
1957,NA,annual,2.02948093220339
1958,NA,annual,2.093908898305085
1959,NA,annual,2.1690748587570625
1960,NA,annual,2.2442408192090397
1961,NA,annual,2.2979307909604523
1962,NA,annual,2.3838347457627123
1963,NA,annual,2.4482627118644067
1964,NA,annual,2.5341666666666667
2024,NA,annual,30.1225
2023,NA,annual,28.929166666666667
2022,NA,annual,27.559166666666666
2021,NA,annual,25.89
2020,NA,annual,24.6925
2019,NA,annual,23.509166666666665
2018,NA,annual,22.70916666666667
2017,NA,annual,22.05
2016,NA,annual,21.5325
2015,NA,annual,21.028333333333332
2014,NA,annual,20.6025
2013,NA,annual,20.129166666666666
2012,NA,annual,19.734166666666667
2011,NA,annual,19.435000000000002
2010,NA,annual,19.04
2009,NA,annual,18.606666666666666
2008,NA,annual,18.059166666666666
2007,NA,annual,17.411666666666665
2006,NA,annual,16.7425
2005,NA,annual,16.1125
2004,NA,annual,15.680833333333334
2003,NA,annual,15.363333333333333
2002,NA,annual,14.961666666666666
2001,NA,annual,14.540833333333333
2000,NA,annual,14.011666666666667
1999,NA,annual,13.480833333333333
1998,NA,annual,13.005833333333333
1997,NA,annual,12.505
1996,NA,annual,12.0375
1995,NA,annual,11.649166666666666
1994,NA,annual,11.333333333333334
1993,NA,annual,11.043333333333333
1992,NA,annual,10.770833333333334
1991,NA,annual,10.5125
1990,NA,annual,10.199166666666667
1989,NA,annual,9.805
1988,NA,annual,9.433333333333334
1987,NA,annual,9.138333333333334
1986,NA,annual,8.921666666666667
1985,NA,annual,8.731666666666667
1984,NA,annual,8.485833333333334
1983,NA,annual,8.1975
1982,NA,annual,7.8625
1981,NA,annual,7.43
1980,NA,annual,6.841666666666667
1979,NA,annual,6.335833333333333
1978,NA,annual,5.873333333333333
1977,NA,annual,5.434166666666666
1976,NA,annual,5.058333333333334
1975,NA,annual,4.735
1974,NA,annual,4.4375
1973,NA,annual,4.140000000000001
1972,NA,annual,3.9033333333333333
1971,NA,annual,3.6275
1970,NA,annual,3.4058333333333333
1969,NA,annual,3.216666666666667
1968,NA,annual,3.025
1967,NA,annual,2.8541666666666665
1966,NA,annual,2.734166666666667
1965,NA,annual,2.6283333333333334
1947,3,quarterly,1.213393361581921
1947,4,quarterly,1.2402383474576273
1948,1,quarterly,1.2670833333333333
1948,2,quarterly,1.2939283192090396
1948,3,quarterly,1.3207733050847459
1948,4,quarterly,1.334195798022599
1949,1,quarterly,1.3476182909604522
1949,2,quarterly,1.3610407838983054
1949,3,quarterly,1.3744632768361584
1949,4,quarterly,1.3905702683615822
1950,1,quarterly,1.4066772598870059
1950,2,quarterly,1.4227842514124296
1950,3,quarterly,1.4388912429378533
1950,4,quarterly,1.46842072740113
1951,1,quarterly,1.4979502118644068
1951,2,quarterly,1.5274796963276838
1951,3,quarterly,1.5570091807909605
1951,4,quarterly,1.575800670903955
1952,1,quarterly,1.5945921610169491
1952,2,quarterly,1.6133836511299435
1952,3,quarterly,1.632175141242938
1952,4,quarterly,1.6563356285310735
1953,1,quarterly,1.680496115819209
1953,2,quarterly,1.704656603107345
1953,3,quarterly,1.7288170903954805
1953,4,quarterly,1.739555084745763
1954,1,quarterly,1.7502930790960454
1954,2,quarterly,1.7610310734463277
1954,3,quarterly,1.7717690677966103
1954,4,quarterly,1.787876059322034
1955,1,quarterly,1.803983050847458
1955,2,quarterly,1.8200900423728816
1955,3,quarterly,1.8361970338983054
1955,4,quarterly,1.860357521186441
1956,1,quarterly,1.8845180084745765
1956,2,quarterly,1.908678495762712
1956,3,quarterly,1.9328389830508477
1956,4,quarterly,1.9569994703389832
1957,1,quarterly,1.9811599576271188
1957,2,quarterly,2.005320444915254
1957,3,quarterly,2.02948093220339
1957,4,quarterly,2.0455879237288137
1958,1,quarterly,2.0616949152542374
1958,2,quarterly,2.077801906779661
1958,3,quarterly,2.093908898305085
1958,4,quarterly,2.1127003884180793
1959,1,quarterly,2.1314918785310737
1959,2,quarterly,2.150283368644068
1959,3,quarterly,2.1690748587570625
1959,4,quarterly,2.187866348870057
1960,1,quarterly,2.206657838983051
1960,2,quarterly,2.2254493290960453
1960,3,quarterly,2.2442408192090397
1960,4,quarterly,2.2576633121468928
1961,1,quarterly,2.271085805084746
1961,2,quarterly,2.2845082980225992
1961,3,quarterly,2.2979307909604523
1961,4,quarterly,2.3194067796610174
1962,1,quarterly,2.340882768361582
1962,2,quarterly,2.362358757062147
1962,3,quarterly,2.3838347457627123
1962,4,quarterly,2.399941737288136
1963,1,quarterly,2.4160487288135597
1963,2,quarterly,2.432155720338983
1963,3,quarterly,2.4482627118644067
1963,4,quarterly,2.47579802259887
1964,1,quarterly,2.5033333333333334
1964,2,quarterly,2.5233333333333334
1964,3,quarterly,2.55
1964,4,quarterly,2.5633333333333335
1965,1,quarterly,2.5933333333333333
1965,2,quarterly,2.6166666666666667
1965,3,quarterly,2.64
1965,4,quarterly,2.6666666666666665
1966,1,quarterly,2.69
1966,2,quarterly,2.72
1966,3,quarterly,2.75
1966,4,quarterly,2.7766666666666664
1967,1,quarterly,2.8066666666666666
1967,2,quarterly,2.8333333333333335
1967,3,quarterly,2.873333333333333
1967,4,quarterly,2.9066666666666667
1968,1,quarterly,2.9533333333333336
1968,2,quarterly,3
1968,3,quarterly,3.0466666666666664
1968,4,quarterly,3.0966666666666667
1969,1,quarterly,3.14
1969,2,quarterly,3.1933333333333334
1969,3,quarterly,3.24
1969,4,quarterly,3.2966666666666664
1970,1,quarterly,3.3333333333333335
1970,2,quarterly,3.3766666666666665
1970,3,quarterly,3.4333333333333336
1970,4,quarterly,3.4733333333333336
1971,1,quarterly,3.5466666666666664
1971,2,quarterly,3.6033333333333335
1971,3,quarterly,3.6533333333333333
1971,4,quarterly,3.7033333333333336
1972,1,quarterly,3.82
1972,2,quarterly,3.873333333333333
1972,3,quarterly,3.92
1972,4,quarterly,3.986666666666667
1973,1,quarterly,4.046666666666667
1973,2,quarterly,4.1033333333333335
1973,3,quarterly,4.17
1973,4,quarterly,4.233333333333333
1974,1,quarterly,4.293333333333333
1974,2,quarterly,4.390000000000001
1974,3,quarterly,4.49
1974,4,quarterly,4.576666666666666
1975,1,quarterly,4.64
1975,2,quarterly,4.693333333333333
1975,3,quarterly,4.7700000000000005
1975,4,quarterly,4.8500000000000005
1976,1,quarterly,4.926666666666667
1976,2,quarterly,5.006666666666667
1976,3,quarterly,5.1033333333333335
1976,4,quarterly,5.2
1977,1,quarterly,5.293333333333333
1977,2,quarterly,5.3933333333333335
1977,3,quarterly,5.483333333333333
1977,4,quarterly,5.58
1978,1,quarterly,5.693333333333333
1978,2,quarterly,5.823333333333333
1978,3,quarterly,5.93
1978,4,quarterly,6.056666666666667
1979,1,quarterly,6.176666666666667
1979,2,quarterly,6.266666666666667
1979,3,quarterly,6.403333333333333
1979,4,quarterly,6.51
1980,1,quarterly,6.63
1980,2,quarterly,6.766666666666667
1980,3,quarterly,6.906666666666667
1980,4,quarterly,7.08
1981,1,quarterly,7.233333333333333
1981,2,quarterly,7.37
1981,3,quarterly,7.51
1981,4,quarterly,7.62
1982,1,quarterly,7.7299999999999995
1982,2,quarterly,7.819999999999999
1982,3,quarterly,7.926666666666667
1982,4,quarterly,7.983333333333333
1983,1,quarterly,8.083333333333334
1983,2,quarterly,8.163333333333334
1983,3,quarterly,8.23
1983,4,quarterly,8.316666666666666
1984,1,quarterly,8.39
1984,2,quarterly,8.459999999999999
1984,3,quarterly,8.523333333333333
1984,4,quarterly,8.576666666666666
1985,1,quarterly,8.636666666666667
1985,2,quarterly,8.709999999999999
1985,3,quarterly,8.766666666666667
1985,4,quarterly,8.823333333333332
1986,1,quarterly,8.873333333333333
1986,2,quarterly,8.9
1986,3,quarterly,8.93
1986,4,quarterly,8.993333333333334
1987,1,quarterly,9.046666666666667
1987,2,quarterly,9.1
1987,3,quarterly,9.163333333333332
1987,4,quarterly,9.256666666666666
1988,1,quarterly,9.296666666666667
1988,2,quarterly,9.393333333333333
1988,3,quarterly,9.473333333333333
1988,4,quarterly,9.58
1989,1,quarterly,9.676666666666666
1989,2,quarterly,9.753333333333334
1989,3,quarterly,9.843333333333334
1989,4,quarterly,9.943333333333333
1990,1,quarterly,10.066666666666666
1990,2,quarterly,10.16
1990,3,quarterly,10.243333333333334
1990,4,quarterly,10.32
1991,1,quarterly,10.39
1991,2,quarterly,10.49
1991,3,quarterly,10.56
1991,4,quarterly,10.613333333333333
1992,1,quarterly,10.66
1992,2,quarterly,10.743333333333334
1992,3,quarterly,10.806666666666667
1992,4,quarterly,10.87
1993,1,quarterly,10.956666666666667
1993,2,quarterly,11.01
1993,3,quarterly,11.07
1993,4,quarterly,11.153333333333334
1994,1,quarterly,11.233333333333333
1994,2,quarterly,11.29
1994,3,quarterly,11.363333333333333
1994,4,quarterly,11.45
1995,1,quarterly,11.516666666666667
1995,2,quarterly,11.593333333333334
1995,3,quarterly,11.696666666666667
1995,4,quarterly,11.78
1996,1,quarterly,11.873333333333333
1996,2,quarterly,11.99
1996,3,quarterly,12.093333333333334
1996,4,quarterly,12.2
1997,1,quarterly,12.316666666666666
1997,2,quarterly,12.426666666666668
1997,3,quarterly,12.556666666666667
1997,4,quarterly,12.706666666666667
1998,1,quarterly,12.83
1998,2,quarterly,12.96
1998,3,quarterly,13.06
1998,4,quarterly,13.173333333333334
1999,1,quarterly,13.303333333333333
1999,2,quarterly,13.423333333333334
1999,3,quarterly,13.549999999999999
1999,4,quarterly,13.666666666666666
2000,1,quarterly,13.796666666666667
2000,2,quarterly,13.936666666666667
2000,3,quarterly,14.07
2000,4,quarterly,14.23
2001,1,quarterly,14.356666666666666
2001,2,quarterly,14.493333333333332
2001,3,quarterly,14.59
2001,4,quarterly,14.706666666666667
2002,1,quarterly,14.79
2002,2,quarterly,14.883333333333333
2002,3,quarterly,15.013333333333334
2002,4,quarterly,15.156666666666666
2003,1,quarterly,15.256666666666666
2003,2,quarterly,15.323333333333332
2003,3,quarterly,15.413333333333334
2003,4,quarterly,15.450000000000001
2004,1,quarterly,15.533333333333333
2004,2,quarterly,15.63
2004,3,quarterly,15.733333333333333
2004,4,quarterly,15.836666666666666
2005,1,quarterly,15.933333333333334
2005,2,quarterly,16.04
2005,3,quarterly,16.17
2005,4,quarterly,16.313333333333333
2006,1,quarterly,16.48
2006,2,quarterly,16.669999999999998
2006,3,quarterly,16.823333333333334
2006,4,quarterly,16.986666666666668
2007,1,quarterly,17.156666666666666
2007,2,quarterly,17.34
2007,3,quarterly,17.503333333333334
2007,4,quarterly,17.63
2008,1,quarterly,17.806666666666665
2008,2,quarterly,17.98
2008,3,quarterly,18.16
2008,4,quarterly,18.316666666666666
2009,1,quarterly,18.443333333333335
2009,2,quarterly,18.536666666666665
2009,3,quarterly,18.653333333333332
2009,4,quarterly,18.793333333333333
2010,1,quarterly,18.903333333333332
2010,2,quarterly,19
2010,3,quarterly,19.086666666666666
2010,4,quarterly,19.21666666666667
2011,1,quarterly,19.313333333333333
2011,2,quarterly,19.393333333333334
2011,3,quarterly,19.48
2011,4,quarterly,19.563333333333333
2012,1,quarterly,19.60333333333333
2012,2,quarterly,19.686666666666667
2012,3,quarterly,19.759999999999998
2012,4,quarterly,19.85
2013,1,quarterly,19.98
2013,2,quarterly,20.07
2013,3,quarterly,20.18
2013,4,quarterly,20.3
2014,1,quarterly,20.46666666666667
2014,2,quarterly,20.55
2014,3,quarterly,20.643333333333334
2014,4,quarterly,20.726666666666667
2015,1,quarterly,20.85
2015,2,quarterly,20.96666666666667
2015,3,quarterly,21.076666666666668
2015,4,quarterly,21.21
2016,1,quarterly,21.343333333333334
2016,2,quarterly,21.483333333333334
2016,3,quarterly,21.6
2016,4,quarterly,21.73
2017,1,quarterly,21.846666666666668
2017,2,quarterly,21.976666666666667
2017,3,quarterly,22.116666666666667
2017,4,quarterly,22.236666666666668
2018,1,quarterly,22.419999999999998
2018,2,quarterly,22.603333333333335
2018,3,quarterly,22.78
2018,4,quarterly,23
2019,1,quarterly,23.203333333333333
2019,2,quarterly,23.403333333333332
2019,3,quarterly,23.606666666666666
2019,4,quarterly,23.806666666666665
2020,1,quarterly,24.023333333333333
2020,2,quarterly,24.96666666666667
2020,3,quarterly,24.77
2020,4,quarterly,24.986666666666668
2021,1,quarterly,25.26
2021,2,quarterly,25.666666666666668
2021,3,quarterly,26.123333333333335
2021,4,quarterly,26.593333333333334
2022,1,quarterly,27.003333333333334
2022,2,quarterly,27.403333333333332
2022,3,quarterly,27.75
2022,4,quarterly,28.116666666666667
2023,1,quarterly,28.44333333333333
2023,2,quarterly,28.78666666666667
2023,3,quarterly,29.08
2023,4,quarterly,29.376666666666665
2024,1,quarterly,29.693333333333335
2024,2,quarterly,29.963333333333335
2024,3,quarterly,30.273333333333333
2024,4,quarterly,30.58
2025,1,quarterly,30.89
